archive,member_path,extension,size_bytes,year_hint,sha256
nsmq 2021.zip,nsmq 2021/Contest 1.pdf,.pdf,297629,2021,194737f18022ed104043344d34d073497198c276811d8c767a005eb4f7c5156b
nsmq 2021.zip,nsmq 2021/Contest 1_2021.docx,.docx,19732,2021,0b9f19a987912e28519afafb1ed2b823f85cb8c69256a7e9b1108acb9995423f
nsmq 2021.zip,nsmq 2021/Contest 10_2021.docx,.docx,25538,2021,7c86cb38caecea3bfafe3c72691f126e3adcda26bc56bf258c968ca7411f1e13
nsmq 2021.zip,nsmq 2021/Contest 11_2021.docx,.docx,21162,2021,15cfc4f8fdaaff1d9726b25d512d98ee42d3c418aa5debef6ce77ef95e705ada
nsmq 2021.zip,nsmq 2021/Contest 12_2021.docx,.docx,20109,2021,169f851789016e51cee36021d51f3b88d21d8c1f6f03905beaa1bfc100ee04bb
nsmq 2021.zip,nsmq 2021/Contest 13_2021.docx,.docx,25426,2021,59afdde013a46fe9814ad579c2dd5cfd0b73c7b23484c509d8d7a1f971c3d597
nsmq 2021.zip,nsmq 2021/Contest 14_2021.docx,.docx,19810,2021,4ad159e7acb023024532941d2bd4d28e5fe93eec049d6c645f3314a00df12114
nsmq 2021.zip,nsmq 2021/Contest 15_2021.docx,.docx,20002,2021,92cccc00501145d0266cbea372b34eaa561a1071c295c82226e7033a18f912fd
nsmq 2021.zip,nsmq 2021/Contest 16_2021.docx,.docx,19681,2021,f003db38ebd2a27ae3e2151573bd316be9d9ab0b0d10919e063fbecda85889c5
nsmq 2021.zip,nsmq 2021/Contest 17_2021.docx,.docx,19391,2021,0aa507266e8fcbfa27a80a063fb867ddf664ae064f95936f5b384094e724d48a
nsmq 2021.zip,nsmq 2021/Contest 18_2021.docx,.docx,21030,2021,9db6367f0f293f958ecb5c9e6cf24eeec2adb6be04c8ec44311c9357c263a393
nsmq 2021.zip,nsmq 2021/Contest 19_2021.docx,.docx,20723,2021,4bd87e0ccf3f6e7be04887a291748aba84223621fb10cdbdf010fc1098301960
nsmq 2021.zip,nsmq 2021/Contest 2_2021.docx,.docx,20147,2021,5707089b30c15ba2a22a7d3a5c2e61f60cc03aaba1267a96b5411b8d6ca43c02
nsmq 2021.zip,nsmq 2021/Contest 20_2021.docx,.docx,19607,2021,2e37a1fe937317c0d2402a72ebb3caa048cebfc945499248dd7caa7f495cb0eb
nsmq 2021.zip,nsmq 2021/Contest 21_2021.docx,.docx,21271,2021,cbe1a686536c55309b58adfb61a18015fd390ca758254100c1c3d449958cd1e9
nsmq 2021.zip,nsmq 2021/Contest 22_2021.docx,.docx,20847,2021,157bce04a0b5f7475a4df5978eff6f8c7317ffd106e54af5a41c26ceaddbafdf
nsmq 2021.zip,nsmq 2021/Contest 23_2021.docx,.docx,20552,2021,260c5013ffcc114e095f0d25d69859526ebfb9976f5be809ad9dfe02bda92d47
nsmq 2021.zip,nsmq 2021/Contest 3_2021.docx,.docx,21359,2021,c7a6252ac89599747988cf8c36b9ded5161f4dec95b1569145b60787ba941fe6
nsmq 2021.zip,nsmq 2021/Contest 4_2021.docx,.docx,20431,2021,ae27e0603e88c02fc1f90d76ee4b420cda1d296c35fbcf3ab765898af14027be
nsmq 2021.zip,nsmq 2021/Contest 5_2021.docx,.docx,20503,2021,443a30e9b2929e2f55286d4b975a8fe9d239b857d85f996fcd9c29199acdc239
nsmq 2021.zip,nsmq 2021/Contest 6_2021.docx,.docx,19552,2021,735e6929f42293bf242ceec0fc887203d59599169ec6b5fdc06e3efa3cc9cf22
nsmq 2021.zip,nsmq 2021/Contest 7_2021.docx,.docx,18364,2021,b9d1380ab3aa77fc101774e2e84a99888c798f2b241744f4ce163c1ed8d44519
nsmq 2021.zip,nsmq 2021/Contest 8_2021.docx,.docx,19578,2021,3961ba78fc1c848a28a8e3e6f43b5d5f3f4c27034deb4e447076056f390a333d
nsmq 2021.zip,nsmq 2021/Contest 9_2021.docx,.docx,20058,2021,ee9fb82072c0168cb427330c697c29e03c5645d11e6acfd62e98e7cbac28a51c
nsmq 2021.zip,nsmq 2021/Contest Extra_2021.docx,.docx,15903,2021,d73d042c1f745762fca7fba3ee9b053ab4cd104d9c001b5c5af1b9780a7b6fef
nsmq 2021.zip,nsmq 2021/NATIONAL CONTEST 21.docx,.docx,155144,2021,d4e883e67a5d4ce6330d4620b9e964240689c88624f1ebb11c9944bc41bcf551
