sha256,canonical_source_type,canonical_filename,canonical_extension,canonical_path,size_bytes,source_count,all_sources
194737f18022ed104043344d34d073497198c276811d8c767a005eb4f7c5156b,archive_member,Contest 1.pdf,.pdf,nsmq 2021.zip::nsmq 2021/Contest 1.pdf,297629,1,nsmq 2021.zip::nsmq 2021/Contest 1.pdf
7c86cb38caecea3bfafe3c72691f126e3adcda26bc56bf258c968ca7411f1e13,archive_member,Contest 10_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 10_2021.docx,25538,1,nsmq 2021.zip::nsmq 2021/Contest 10_2021.docx
15cfc4f8fdaaff1d9726b25d512d98ee42d3c418aa5debef6ce77ef95e705ada,archive_member,Contest 11_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 11_2021.docx,21162,1,nsmq 2021.zip::nsmq 2021/Contest 11_2021.docx
169f851789016e51cee36021d51f3b88d21d8c1f6f03905beaa1bfc100ee04bb,archive_member,Contest 12_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 12_2021.docx,20109,1,nsmq 2021.zip::nsmq 2021/Contest 12_2021.docx
59afdde013a46fe9814ad579c2dd5cfd0b73c7b23484c509d8d7a1f971c3d597,archive_member,Contest 13_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 13_2021.docx,25426,1,nsmq 2021.zip::nsmq 2021/Contest 13_2021.docx
4ad159e7acb023024532941d2bd4d28e5fe93eec049d6c645f3314a00df12114,archive_member,Contest 14_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 14_2021.docx,19810,1,nsmq 2021.zip::nsmq 2021/Contest 14_2021.docx
92cccc00501145d0266cbea372b34eaa561a1071c295c82226e7033a18f912fd,archive_member,Contest 15_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 15_2021.docx,20002,1,nsmq 2021.zip::nsmq 2021/Contest 15_2021.docx
f003db38ebd2a27ae3e2151573bd316be9d9ab0b0d10919e063fbecda85889c5,archive_member,Contest 16_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 16_2021.docx,19681,1,nsmq 2021.zip::nsmq 2021/Contest 16_2021.docx
0aa507266e8fcbfa27a80a063fb867ddf664ae064f95936f5b384094e724d48a,archive_member,Contest 17_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 17_2021.docx,19391,1,nsmq 2021.zip::nsmq 2021/Contest 17_2021.docx
9db6367f0f293f958ecb5c9e6cf24eeec2adb6be04c8ec44311c9357c263a393,archive_member,Contest 18_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 18_2021.docx,21030,1,nsmq 2021.zip::nsmq 2021/Contest 18_2021.docx
4bd87e0ccf3f6e7be04887a291748aba84223621fb10cdbdf010fc1098301960,archive_member,Contest 19_2021.docx,.docx,nsmq 2021.zip::nsmq 2021/Contest 19_2021.docx,20723,1,nsmq 2021.zip::nsmq 2021/Contest 19_2021.docx
